Date of birth;Place of birth;Age;Height;Citizenship;Position;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club
May 11, 2000;Reykjavík;22;180;Iceland;Attack - Left Winger;right;Jan 20, 2023;Jun 30, 2023;Nike;CAA Stellar;Calcio Foggia 1920;€150k;Oct 29, 2020;Bjarki Bjarkason;BJARKASON B.;566613;99999999;27;€150k;;;Venezia FC;Jun 30, 2024;;
May 26, 1996;Belgrad;26;194;Serbia;Goalkeeper;right;Jul 14, 2021;Jun 30, 2025;;VPA Sports;Cagliari Calcio;€1.00m;Jun 18, 2018;Boris Radunovi;RADUNOVI B.;258482;99999999;1;€600k;;;;;;
Apr 5, 1997;Parla;26;182;Spain;Attack - Centre-Forward;right;Aug 1, 2022;Jun 30, 2027;;Footfeel ISM;Getafe CF;€14.00m;Mar 23, 2021;Borja Mayoral;MAYORAL B.;298976;99999999;19;€9.00m;;;;;;
Jan 1, 2000;Metković;23;188;Croatia;Defender - Centre-Back;right;Jul 1, 2022;Jun 30, 2027;;PROSPORTM;GNK Dinamo Zagreb;€3.50m;Feb 11, 2020;Bosko Sutalo;SUTALO B.;431698;16623;4;€3.00m;;;;;;
Jan 1, 2000;Metković;23;188;Croatia;Defender - Centre-Back;right;Jul 1, 2022;Jun 30, 2027;;PROSPORTM;GNK Dinamo Zagreb;€3.50m;Feb 11, 2020;Bosko Sutalo;SUTALO B.;431698;16623;4;€3.00m;;;;;;
Aug 3, 1999;Málaga;23;171;Spain / Morocco;midfield - Attacking Midfield;both;Jul 19, 2021;Jun 30, 2023;Nike;Sports&Life;AC Milan;€25.00m;Dec 28, 2021;Brahim D az;BRAHIM DIAZ;314678;11592;10;€20.00m;;Buy-option with buy-back option;Real Madrid;Jun 30, 2025;;
May 4, 1990;Malden;32;191;Netherlands;Defender - Centre-Back;left;Jan 2, 2023;Jun 30, 2023;;Wasserman;UC Sampdoria;€5.00m;Jun 25, 2013;Bram Nuytinck;NUYTINCK B.;104597;1435;17;€2.00m;;;;;;
Feb 21, 2002;Aubervilliers;21;181;France / Cote d'Ivoire;Defender - Right-Back;right;Aug 19, 2022;Jun 30, 2026;;CAA Stellar;Atalanta BC;€10.00m;Nov 11, 2022;Brandon Soppy;SOPPY B.;546880;99999999;93;€10.00m;;;;;;
Mar 18, 1997;Itapitanga;26;188;Brazil;Defender - Centre-Back;right;Jul 20, 2022;Jun 30, 2027;;CAA Base Ltd;Juventus FC;€40.00m;Sep 27, 2022;Bremer;BREMER G.;516716;14104;3;€40.00m;;;;;;
Jan 3, 2002;Calchaquí;21;187;Argentina / Italy;Defender - Centre-Back;left;Sep 1, 2022;Jun 30, 2023;;Estilo 10;UC Sampdoria;€2.70m;Mar 21, 2023;Bruno Amione;AMIONE B.;644676;99999999;2;€2.70m;;;Hellas Verona;Jun 30, 2025;;
May 31, 1998;Curitiba;24;194;Brazil / Italy;Goalkeeper;left;Jan 31, 2019;Jun 30, 2023;;Wasserman;Venezia FC;€200k;Dec 22, 2022;Bruno Bertinato;BERTINATO B.;323929;99999999;12;€200k;Jun 25, 2022;Option for a further year;;;;
Mar 3, 1995;San Vito al Tagliamento;28;186;Italy / Canada;midfield - Defensive Midfield;right;Jul 1, 2019;Jun 30, 2024;adidas;Gr Sports;AS Roma;€25.00m;Jun 7, 2018;Bryan Cristante;CRISTANTE B.;199248;1537;4;€20.00m;Jan 8, 2020;;;;;
Jun 28, 2001;Fort Worth, Texas;21;185;United States;Defender - Right-Back;right;Jul 1, 2022;Jun 30, 2023;;Mega Sports;KVC Westerlo;€6.00m;Dec 18, 2020;Bryan Reynolds;REYNOLDS B.;475208;99999999;22;€2.50m;;;AS Roma;Jun 30, 2025;;
Mar 23, 1994;Villafranca di Verona;29;182;Ghana / Italy;Attack - Centre-Forward;right;Aug 10, 2021;Jun 30, 2024;;;Genoa CFC;€7.00m;May 21, 2021;Caleb Ekuban;EKUBAN C.;199953;14805;18;€1.50m;;;;;;
Feb 16, 1998;Granollers;25;173;Spain;Attack - Right Winger;left;Aug 9, 2022;Jun 30, 2023;adidas;LEADERBROCK;Celta de Vigo;€10.00m;Sep 10, 2019;Carles P rez;REZ C.;282810;99999999;7;€5.00m;;Option to buy;AS Roma;Jun 30, 2024;;
Mar 16, 1990;Moncalieri;33;194;Italy;Goalkeeper;left;Jul 1, 2014;Jun 30, 2023;;Starbridge Srl;Juventus FC;€1.00m;Feb 10, 2015;Carlo Pinsoglio;PINSOGLIO C.;75411;99999999;23;€300k;Jun 30, 2021;;;;;
Jul 19, 2001;San Giuseppe Vesuviano;21;187;Italy;Attack - Centre-Forward;;Aug 31, 2022;-;;;ACR Messina;€50k;Jun 25, 2020;Carmine Iannone;IANNONE C.;542394;99999999;8;€25k;;;;;;
Nov 25, 1996;Divo;26;187;Cote d'Ivoire / Italy;Attack - Centre-Forward;right;Aug 10, 2022;Jun 30, 2023;;Team Raiola;Ascoli Calcio;€900k;Dec 22, 2022;Cedric Gondo;GONDO C.;213854;99999999;15;€900k;;Option to buy;US Cremonese;Jun 30, 2024;;
Jan 10, 2003;Ravenna;20;185;Italy;midfield - Central Midfield;right;Jan 30, 2023;May 31, 2023;;CAA Base Ltd;Reading FC;€6.00m;Mar 24, 2023;Cesare Casadei;CASADEI C.;622380;99999999;20;€6.00m;;;Chelsea FC U21;Jun 30, 2028;;
Oct 22, 1993;Piräus;29;190;Greece;Defender - Left-Back;left;Jul 1, 2022;Jun 30, 2024;;World in Motion;Bologna FC 1909;€2.50m;Jun 3, 2021;Charalampos Lykogiannis;LYKOGIANNIS C.;136514;11654;22;€1.50m;;;;;;
Nov 22, 1989;London;33;194;England;Defender - Centre-Back;right;Oct 5, 2020;Jun 30, 2023;Nike;OmniSports;AS Roma;€20.00m;Jun 1, 2016;Chris Smalling;SMALLING C.;103427;1806;6;€8.00m;;performance option;;;;
Jun 14, 2002;;20;;Italy;midfield - Central Midfield;right;Jul 19, 2022;Jun 30, 2023;;;Vis Pesaro 1898;€200k;Dec 20, 2022;Christian Aucelli;AUCELLI C.;613129;99999999;20;€200k;;;Sassuolo Primavera;-;;
Jun 1, 1996;Ciudad del Plata;26;178;Uruguay;midfield - Defensive Midfield;right;Feb 12, 2022;Dec 31, 2024;;Oscar Bentancourt;Club Atlético Talleres;€5.00m;Jan 15, 2019;Christian Oliva;OLIVA C.;563812;99999999;17;€1.00m;;;;;;
Mar 26, 2002;Feltre;21;;Italy;midfield - Central Midfield;right;Jul 16, 2022;Jun 30, 2023;;Gr Sports;Mantova 1911;€125k;Jun 23, 2022;Christian Pierobon;PIEROBON C.;554433;99999999;7;€125k;;;Hellas Verona Primavera;-;;
Nov 11, 2002;Thessaloniki;20;178;Greece;midfield - Central Midfield;right;Jul 1, 2022;Jun 30, 2026;;TPC;Cagliari Calcio;€700k;Jun 23, 2022;Christos Kourfalidis;KOURFALIDIS C.;650224;99999999;39;€700k;;;;;;
Feb 9, 1986;Bukarest;37;198;Romania;Goalkeeper;right;Sep 11, 2020;Jun 30, 2023;;Pietro Chiodi Soccer M.;AC Milan;€5.00m;Jan 4, 2016;Ciprian Tatarusanu;TATARUSANU C.;55282;99999999;1;€600k;;;;;;
Feb 20, 1990;Torre Annunziata;33;185;Italy;Attack - Centre-Forward;right;Jul 27, 2016;Jun 30, 2026;adidas;Gea World;SS Lazio;€50.00m;Jun 7, 2018;Ciro Immobile;IMMOBILE C.;105521;1921;17;€18.00m;;;;;;
May 1, 2002;Palermo;20;185;Italy / Portugal;Attack - Centre-Forward;right;Jul 1, 2021;Jun 30, 2024;;Ss.a. Sportservice Agency S.R.L.;Juventus Next Gen;€1.10m;Jun 30, 2021;Cosimo Marco Da Graca;GRACA C.;564795;99999999;9;€900k;;;;;;
Sep 20, 1986;Rosario;36;181;Argentina / Italy;Defender - Left-Back;both;Aug 22, 2022;Jun 30, 2023;;Pedro Aldave Ortuzar;Parma Calcio 1913;€12.00m;Jul 15, 2011;Cristian Ansaldi;ANSALDI C.;55854;99999999;14;€500k;;performance option;;;;
Nov 15, 2003;Camperdown;19;187;Italy / Australia;midfield - Attacking Midfield;left;Oct 1, 2022;Jun 30, 2026;;CT10 management Srl;AS Roma;€3.00m;Nov 11, 2022;Cristian Volpato;VOLPATO C.;746891;99999999;62;€3.00m;Sep 30, 2022;;;;;
Sep 1, 1992;Cernusco sul Naviglio;30;185;Italy;Defender - Left-Back;left;Jul 1, 2018;Jun 30, 2024;;M.A.R.A.T. Football Management;ACF Fiorentina;€12.00m;Dec 12, 2019;Cristiano Biraghi;BIRAGHI C.;124555;2067;3;€6.50m;Oct 27, 2020;;;;;
Feb 5, 1985;Funchal;38;187;Portugal;Attack - Centre-Forward;right;Jan 1, 2023;Jun 30, 2025;Nike;Gestifute;Al-Nassr FC;€120.00m;Oct 22, 2014;Cristiano Ronaldo;CRISTIANO RONALDO;8198;99999999;7;€20.00m;;;;;;
Oct 24, 1997;Santa Cruz de Tenerife;25;178;Spain;Attack - Centre-Forward;right;Jul 20, 2022;Jun 30, 2023;adidas;YOU FIRST;Sporting Gijón;€5.00m;Jun 29, 2019;Cristo Gonz lez;LEZ C.;339707;99999999;12;€1.50m;;Option to buy;Udinese Calcio;Jun 30, 2024;;
Jun 15, 1999;Turnhout;23;189;Belgium;midfield - Attacking Midfield;right;Jul 3, 2022;Jun 30, 2025;;SEG;RSC Charleroi;€1.50m;Nov 4, 2022;Daan Heymans;HEYMANS D.;446491;99999999;18;€1.50m;;;;;;
Sep 8, 1993;Barra Mansa;29;181;Brazil;Defender - Left-Back;left;Aug 9, 2017;Jun 30, 2023;;no agent;Inter Milan;€12.00m;Oct 13, 2017;Dalbert;DALBERT H.;312862;2103;29;€2.00m;Oct 25, 2018;;;;;
Apr 11, 2002;Burnaby, British Columbia;21;179;Canada / Italy;midfield - Defensive Midfield;right;Feb 11, 2023;Dec 31, 2023;;CAA Stellar;FC KTP;€100k;Dec 18, 2020;Damiano Pecile;PECILE D.;718088;99999999;18;€100k;;;Venezia FC;-;;
Nov 2, 1997;Buenaventura;25;187;Colombia;Attack - Centre-Forward;right;Jul 26, 2022;Jun 30, 2023;;no agent;SSC Bari;€1.00m;Feb 1, 2018;Damir Ceter;CETER D.;460898;99999999;30;€500k;;Option for a further year;;;;
Jan 14, 1993;San Paolo;30;178;Italy / Brazil;midfield - Central Midfield;right;Jul 16, 2022;Jun 30, 2024;;PDP s.r.l.  Pasqualin D’Amico Partners;Al-Ittihad Kalba SC;€5.00m;Dec 20, 2018;Daniel Bessa;BESSA D.;140757;99999999;11;€3.00m;;;;;;
Jul 4, 1997;Santa Bárbara d’Oeste;25;190;Brazil / Italy;Goalkeeper;right;Jul 1, 2022;Jun 30, 2025;;SportsMaxi Management;UD Ibiza;€1.00m;Dec 29, 2022;Daniel Fuzato;FUZATO D.;438682;99999999;13;€1.00m;;;;;;
Oct 11, 2001;Milano;21;188;Italy / Venezuela;midfield - Attacking Midfield;right;Jul 29, 2022;Jun 30, 2023;;Gr Sports;Spezia Calcio;€2.00m;Oct 14, 2021;Daniel Maldini;MALDINI D.;539134;99999999;30;€2.00m;;;AC Milan;Jun 30, 2024;;
Mar 12, 1992;Manerbio;31;182;Italy;midfield - Central Midfield;right;Aug 9, 2022;Jun 30, 2024;;Gr Sports;Como 1907;€10.00m;Jun 7, 2018;Daniele Baselli;BASELLI D.;134883;99999999;10;€900k;;Option for a further year;;;;
Mar 12, 1992;Manerbio;31;182;Italy;midfield - Central Midfield;right;Aug 9, 2022;Jun 30, 2024;;Gr Sports;Como 1907;€10.00m;Jun 7, 2018;Daniele Baselli;BASELLI D.;134883;99999999;10;€900k;;Option for a further year;;;;
Mar 18, 2003;Palermo;20;184;Italy;Attack - Centre-Forward;right;Oct 28, 2022;Jun 30, 2025;;;UC Sampdoria;€400k;Nov 11, 2022;Daniele Montevago;MONTEVAGO D.;678441;99999999;34;€400k;Jun 17, 2022;;;;;
Oct 25, 1985;Lecco;37;191;Italy;Goalkeeper;right;Jul 1, 2021;Jun 30, 2023;adidas;Assist;Udinese Calcio;€2.00m;Jul 1, 2014;Daniele Padelli;PADELLI D.;27807;99999999;20;€300k;;;;;;
Jul 29, 1994;Lucca;28;190;Italy;Defender - Centre-Back;right;Feb 1, 2015;Jun 30, 2024;Nike;Davide Torchia;Juventus FC;€22.00m;Jun 7, 2018;Daniele Rugani;RUGANI D.;162959;99999999;24;€2.50m;;;;;;
Jun 20, 1996;Napoli;26;168;Italy;Attack - Right Winger;left;Jul 1, 2021;Jun 30, 2025;;Luigi Lauro SBM srl;Spezia Calcio;€5.00m;Jun 7, 2022;Daniele Verde;VERDE D.;256361;2276;10;€4.00m;Jan 21, 2022;;;;;
Jul 15, 1991;Bicas;31;184;Brazil;Defender - Right-Back;right;Aug 7, 2019;Jun 30, 2025;;B2F;Juventus FC;€25.00m;Jul 1, 2015;Danilo;DANILO;145707;2295;6;€12.00m;Mar 2, 2023;;;;;
Aug 6, 1994;Roma;28;180;Italy;midfield - Defensive Midfield;right;Jul 1, 2013;Jun 30, 2024;Nike;Gr Sports;SS Lazio;€7.00m;Jul 1, 2015;Danilo Cataldi;CATALDI D.;199733;2285;32;€7.00m;;;;;;
Sep 9, 1988;Napoli;34;180;Italy;Defender - Centre-Back;right;Jan 30, 2014;Jun 30, 2023;Nike;G.E.V. Sport&management srl;Inter Milan;€13.00m;Dec 29, 2017;Danilo D Ambrosio;D'AMBROSIO D.;55769;2286;33;€2.00m;Jun 28, 2021;;;;;
Sep 15, 1990;Cacak;32;181;Serbia;midfield - Left Midfield;right;Aug 6, 2019;Jun 30, 2024;adidas;Seven Stars;Hellas Verona;€5.00m;Mar 3, 2020;Darko Lazovi;LAZOVIC D.;70411;2361;8;€2.50m;May 28, 2021;;;;;
Feb 1, 2002;Maribor;21;185;Slovenia;Attack - Centre-Forward;right;Aug 31, 2022;Jun 30, 2023;;AK10 STARS;NK Bravo;€450k;Jun 23, 2022;David Flakus Bosilj;BOSILJ D.;506941;99999999;32;€200k;;Option to buy;Hellas Verona Primavera;-;;
Aug 29, 1997;Lagos;25;181;Nigeria;Attack - Centre-Forward;right;Jul 28, 2022;Jun 30, 2025;Nike;Patrick Bastianelli;US Cremonese;€11.00m;Sep 13, 2019;David Okereke;OKEREKE D.;413605;19881;77;€4.30m;;;;;;
Aug 31, 1988;Medellín;34;183;Colombia / France;Goalkeeper;right;Jul 11, 2022;Jun 30, 2024;adidas;Alinea;Al-Nassr FC;€8.00m;Jul 1, 2015;David Ospina;OSPINA D.;73396;99999999;25;€4.50m;;;;;;
Sep 29, 1998;Mils bei Imst;24;185;Austria;Defender - Left-Back;left;Jul 1, 2022;Jun 30, 2026;;CONNEXION;SK Sturm Graz;€800k;Mar 24, 2021;David Schnegg;SCHNEGG D.;378260;99999999;28;€800k;;;;;;
Apr 4, 2001;Nové Zámky;22;185;Slovakia;Attack - Centre-Forward;left;Jan 31, 2023;Jun 30, 2023;;Atlas Sports;Reggina 1914;€1.50m;Oct 14, 2021;David Strelec;STRELEC D.;482836;99999999;19;€1.30m;;;Spezia Calcio;Jun 30, 2025;;
Nov 8, 2000;Olomouc;22;190;Czech Republic;Defender - Centre-Back;right;Aug 31, 2021;Jun 30, 2025;;Int. Sport Management s.r.o.;Torino FC;€7.50m;May 28, 2021;David Zima;ZIMA D.;544149;34071;6;€5.50m;;;;;;
Jul 2, 1994;Roma;28;182;Italy;Defender - Centre-Back;right;Jan 17, 2022;Jun 30, 2023;;MM-Management;Fatih Karagümrük;€4.50m;Jun 6, 2019;Davide Biraschi;BIRASCHI D.;199927;11655;4;€1.30m;Jul 14, 2022;;Genoa CFC;Jun 30, 2024;;
Dec 6, 1996;Brescia;26;176;Italy;Defender - Right-Back;right;Jul 1, 2015;Jun 30, 2025;;YOU FIRST;AC Milan;€25.00m;Mar 23, 2021;Davide Calabria;CALABRIA D.;262523;2524;2;€20.00m;Jul 9, 2021;;;;;
Jul 4, 2002;Frattamaggiore;20;182;Italy;Defender - Centre-Back;left;Jan 31, 2023;Jun 30, 2023;Puma;Universal Group srl & IM Sport;FC Pro Vercelli 1892;€125k;Jun 23, 2022;Davide Costanzo;COSTANZO D.;618505;99999999;13;€75k;;;SSC Napoli;Jun 30, 2026;;
Oct 25, 1991;Bracciano;31;180;Italy;Defender - Right-Back;right;Jul 1, 2019;Jun 30, 2025;Nike;M.A.R.A.T. Football Management;Hellas Verona;€7.00m;Mar 23, 2021;Davide Faraoni;FARAONI D.;73926;6767;5;€3.50m;Oct 5, 2022;;;;;
Sep 22, 1999;Roma;23;184;Italy;midfield - Central Midfield;right;Jul 13, 2017;Jun 30, 2026;Nike;Gr Sports;US Sassuolo;€22.00m;Nov 11, 2022;Davide Frattesi;FRATTESI D.;394300;19731;16;€22.00m;Mar 17, 2022;;;;;
Nov 21, 1991;Herford;31;170;Germany / Italy;midfield - Defensive Midfield;right;Jan 11, 2020;Jun 30, 2024;Puma;;SSC Napoli;€17.00m;Mar 6, 2019;Diego Demme;DEMME D.;82070;99999999;4;€4.00m;;;;;;
Jan 16, 2004;Roma;19;189;Italy;Goalkeeper;right;Jul 13, 2022;Jun 30, 2023;;P&P Sport Management S.A.M.;US Triestina;€150k;Sep 28, 2022;Davide Mastrantonio;MASTRANTONIO D.;703227;99999999;1;€100k;;;Roma U19;-;;
Jun 11, 1992;Sora;30;182;Italy;Defender - Right-Back;right;Aug 24, 2021;Jun 30, 2025;;World Soccer Agency;Atalanta BC;€20.00m;Jan 2, 2018;Davide Zappacosta;ZAPPACOSTA D.;173859;2541;77;€7.00m;;;;;;
Apr 25, 2000;Stockholm;22;186;Sweden / North Macedonia;Attack - Right Winger;left;Jan 31, 2022;Jun 30, 2023;;World Soccer Agency;Tottenham Hotspur;€55.00m;Mar 16, 2023;Dejan Kulusevski;KULUSEVSKI D.;431755;99999999;21;€55.00m;;Obligation to buy with conditions;Juventus FC;Jun 30, 2024;;
Feb 10, 2001;Guédiawaye;22;190;Senegal;Attack - Right Winger;left;Jan 31, 2022;Jun 30, 2026;;Gr Sports;Torino FC;€3.00m;Mar 15, 2022;Demba Seck;SECK D.;551752;99999999;23;€3.00m;;;;;;
Apr 10, 1996;Partizánske;27;189;Slovakia;Defender - Centre-Back;right;Jul 6, 2022;Jun 30, 2026;;IFManagement s.r.o;FC Copenhagen;€8.00m;Oct 8, 2019;Denis Vavro;VAVRO D.;239962;99999999;3;€3.00m;;;;;;
Nov 20, 1996;Genf;26;190;Switzerland / DR Congo;midfield - Defensive Midfield;right;Sep 1, 2022;Jun 30, 2023;adidas;HCM Sports Management;Chelsea FC;€45.00m;Dec 17, 2019;Denis Zakaria;ZAKARIA D.;334526;99999999;20;€20.00m;;Option to buy;Juventus FC;Jun 30, 2026;;
Feb 17, 1998;Skien;25;185;Norway;Attack - Left Winger;right;Aug 25, 2020;Jun 30, 2025;;PURE;Venezia FC;€1.50m;Oct 14, 2021;Dennis Johnsen;JOHNSEN D.;406042;12433;17;€1.20m;Oct 21, 2021;;;;;
May 14, 1994;Leuven;28;181;Belgium;midfield - Central Midfield;right;Aug 8, 2019;Jun 30, 2024;Nike;MARTIN RIHA;Leicester City;€25.00m;Jun 7, 2018;Dennis Praet;PRAET D.;129588;2645;26;€8.00m;;;;;;
Aug 3, 2002;Torino;20;177;Serbia / Italy;midfield - Attacking Midfield;right;Sep 5, 2022;Jun 30, 2023;;FUTURE STARS;FK Leotar Trebinje;€400k;Dec 22, 2020;Dennis Stojkovic;STOJKOVIC D.;526098;99999999;7;€150k;;;;;;
Oct 6, 2002;Delft;20;183;Netherlands;Defender - Right-Back;right;Jan 26, 2023;Jun 30, 2023;;Key United;Rapid Vienna;€2.00m;Mar 15, 2022;Denso Kasius;KASIUS D.;577394;99999999;2;€2.00m;;;Bologna FC 1909;Jun 30, 2025;;
Apr 18, 1996;Rotterdam;27;188;Netherlands / Aruba;midfield - Right Midfield;right;Aug 14, 2021;Jun 30, 2025;;Wasserman;Inter Milan;€28.00m;Nov 11, 2022;Denzel Dumfries;DUMFRIES D.;321528;12685;2;€28.00m;;;;;;
Jul 7, 1999;Campo Grande;23;183;Brazil;midfield - Central Midfield;right;Jul 6, 2022;Jun 30, 2026;adidas;Link;Atalanta BC;€20.00m;Sep 27, 2022;derson;EDERSON;607854;31596;13;€20.00m;;;;;;
Feb 4, 2003;Verona;20;;Italy / Nigeria;Attack - Right Winger;right;Jan 14, 2023;Jun 30, 2023;;PDP s.r.l.  Pasqualin D’Amico Partners;US Fiorenzuola 1922;€100k;Jun 23, 2022;Destiny Egharevba;EGHAREVBA D.;704176;99999999;77;€50k;;;ACF Fiorentina;Jun 30, 2025;;
Nov 28, 2002;Verona;20;188;Italy / Nigeria;Defender - Left-Back;left;Aug 17, 2022;Jun 30, 2023;;Football Service;Udinese Calcio;€22.00m;Nov 11, 2022;Destiny Udogie;UDOGIE D.;556385;32071;13;€22.00m;;;Tottenham Hotspur;Jun 30, 2027;;
Dec 28, 2003;Verona;19;192;Italy / Netherlands;Defender - Centre-Back;right;Jan 1, 2022;Jun 30, 2027;;CAA Base Ltd;Hellas Verona;€3.00m;Sep 27, 2022;Diego Coppola;COPPOLA D.;660860;99999999;42;€3.00m;Apr 20, 2022;;;;;
Sep 24, 1999;Skopje;23;182;North Macedonia;midfield - Central Midfield;right;Jul 24, 2019;Jun 30, 2025;;Relatives;SSC Napoli;€26.00m;Mar 21, 2023;Eljif Elmas;ELMAS E.;400489;13773;7;€26.00m;Aug 18, 2020;;;;;
Jun 26, 1991;Marsciano;31;186;Italy;Attack - Centre-Forward;left;Jul 5, 2022;Jun 30, 2024;Nike;Patrick Bastianelli;Modena FC;€5.00m;Jun 8, 2017;Diego Falcinelli;FALCINELLI D.;119115;99999999;11;€800k;;Option for a further year;;;;
May 10, 1990;Sorocaba;32;172;Brazil / Italy;Attack - Left Winger;right;Jan 14, 2022;Jun 30, 2023;;Grimaldi Mariano;Benevento Calcio;€4.50m;Jun 6, 2019;Diego Farias;FARIAS D.;83877;99999999;10;€850k;;;;;;
Feb 16, 1986;Rosario;37;187;Uruguay / Spain;Defender - Centre-Back;right;Jun 21, 2022;Dec 31, 2023;;;CA Vélez Sarsfield;€40.00m;Jul 15, 2016;Diego God n;N D.;54928;99999999;2;€500k;;;;;;
Jan 2, 2001;Assisi;22;190;Italy;Defender - Centre-Back;left;Oct 1, 2020;Jun 30, 2023;;BestFoot FM;Juventus Next Gen;€350k;Jun 20, 2022;Diego Stramaccioni;STRAMACCIONI D.;536341;99999999;3;€325k;;;;;;
Oct 13, 2002;Castiglione del Lago;20;192;Italy;Attack - Centre-Forward;left;Aug 1, 2022;Jun 30, 2023;;20 Sport;ACR Messina;€75k;Jan 12, 2021;Diego Zuppel;ZUPPEL D.;581912;99999999;9;€50k;;;Spezia Primavera;-;;
Jul 16, 2000;Pirot;22;188;Serbia;Defender - Left-Back;left;Jan 1, 2023;Jun 30, 2023;;Mateja Kezman;AC Sparta Prague;€2.00m;Jun 12, 2021;Dimitrije Kamenovic;KAMENOVIC D.;465565;99999999;5;€1.40m;;Option to buy;SS Lazio;Jun 30, 2026;AC Sparta Prague B (#5);
Aug 13, 1998;Chalkida;24;188;Greece;Defender - Centre-Back;left;Aug 9, 2021;Jun 30, 2026;;LIAN Sports Group;Spezia Calcio;€4.00m;Jun 7, 2022;Dimitrios Nikolaou;NIKOLAOU D.;292772;12898;43;€3.80m;;;;;;
Nov 18, 1995;Koper;27;188;Slovenia;midfield - Central Midfield;right;Jan 26, 2023;Jun 30, 2023;;Marcel Kacinari;US Salernitana 1919;€2.00m;Jul 12, 2018;Domen Crnigoj;CRNIGOJ D.;216599;2808;22;€1.50m;;Option to buy;Venezia FC;Jun 30, 2026;;
Aug 1, 1994;Cariati;28;183;Italy;Attack - Right Winger;left;Jul 1, 2015;Jun 30, 2027;;Simone Seghedoni;US Sassuolo;€35.00m;May 25, 2021;Domenico Berardi;BERARDI D.;177843;2809;10;€18.00m;Aug 17, 2022;;;;;
Dec 30, 1986;Cercola;36;183;Italy;Defender - Left-Back;left;Jan 3, 2023;Jun 30, 2023;;PDP s.r.l.  Pasqualin D’Amico Partners;Genoa CFC;€16.00m;Jan 13, 2013;Domenico Criscito;CRISCITO D.;44136;2810;4;€250k;;;;;;
May 17, 1995;Hod haSharon;27;185;Israel / Portugal;midfield - Defensive Midfield;right;Aug 15, 2022;Jun 30, 2025;;NIM-Group Sport Management;Maccabi Tel Aviv;€1.80m;May 29, 2021;Dor Peretz;PERETZ D.;204987;99999999;42;€1.20m;;club option 1 year;;;;
May 6, 1987;Leuven;35;169;Belgium;Attack - Second Striker;right;Aug 8, 2022;Jun 30, 2024;Nike;Stirr Associates;Galatasaray;€32.00m;Dec 29, 2017;Dries Mertens;MERTENS D.;56416;2870;10;€3.30m;Apr 14, 2023;;;;;
Apr 28, 2003;Montevarchi;19;180;Italy;midfield - Defensive Midfield;right;Jul 1, 2022;Jun 30, 2023;Nike;Green Soccer;FC Empoli;€500k;Jun 23, 2022;Duccio Degli Innocenti;INNOCENTI D.;616169;99999999;20;€500k;;;;;;
Jan 28, 2000;Belgrad;23;190;Serbia;Attack - Centre-Forward;left;Jan 28, 2022;Jun 30, 2026;Nike;INTERNATIONAL SPORTS OFFICE;Juventus FC;€85.00m;Mar 15, 2022;Dusan Vlahovic;VLAHOVIC D.;357498;14068;9;€75.00m;Jan 28, 2022;;;;;
Jan 28, 2000;Belgrad;23;190;Serbia;Attack - Centre-Forward;left;Jan 28, 2022;Jun 30, 2026;Nike;INTERNATIONAL SPORTS OFFICE;Juventus FC;€85.00m;Mar 15, 2022;Dusan Vlahovic;VLAHOVIC D.;357498;14068;9;€75.00m;Jan 28, 2022;;;;;
Apr 1, 1991;Santiago de Cali;32;189;Colombia;Attack - Centre-Forward;right;Jan 17, 2020;Jun 30, 2024;Nike;Villarreal, Schena & Hansen;Atalanta BC;€45.00m;Oct 8, 2019;Duv n Zapata;ZAPATA D.;73794;2895;91;€10.00m;;;;;;
Aug 21, 2002;;20;178;Ghana;Defender - Left-Back;left;Jul 8, 2022;Jun 30, 2023;;Arthurlegacy Sports M.L.;Imolese Calcio 1919;€200k;Jun 23, 2022;Ebenezer Annan;ANNAN E.;861221;99999999;77;€125k;;;Bologna Primavera;-;;
Feb 1, 2000;Serrekunda;23;180;The Gambia;Attack - Right Winger;right;Aug 13, 2022;Jun 30, 2023;;Sportlex Srl;Fatih Karagümrük;€4.00m;Dec 29, 2020;Ebrima Colley;COLLEY E.;567217;99999999;19;€3.00m;;;Atalanta BC;Jun 30, 2025;;
Jun 6, 2001;Bakoteh;21;179;The Gambia;midfield - Defensive Midfield;right;Jul 1, 2021;Jun 30, 2026;;Vigo Global Sport Services Srl;AS Roma;€2.00m;Jun 30, 2021;Ebrima Darboe;DARBOE E.;647484;99999999;55;€2.00m;Dec 29, 2021;;;;;
Oct 1, 2001;Genova;21;178;Italy / Colombia;Attack - Centre-Forward;right;Jan 31, 2023;Jun 30, 2023;;YOU FIRST;Genoa CFC;€10.00m;Aug 25, 2020;Eddie Salcedo;SALCEDO E.;459661;99999999;17;€2.70m;;Option to buy;Inter Milan;Jun 30, 2024;;
Oct 1, 2001;Genova;21;178;Italy / Colombia;Attack - Centre-Forward;right;Jan 31, 2023;Jun 30, 2023;;YOU FIRST;Genoa CFC;€10.00m;Aug 25, 2020;Eddie Salcedo;SALCEDO E.;459661;99999999;17;€2.70m;;Option to buy;Inter Milan;Jun 30, 2024;;
