Player,Team,Match,Competition,Position,Position Group,Season,Minutes Played,Minutes Played TIP,Minutes Played OTIP,Player ID,Birthdate,Date,Physicals Quality Check,Distance,M/min,Running Distance,HSR Distance,Sprinting Distance,HI Distance,Count HSR,Count Sprint,Count HI,Count Medium Acceleration,Count High Acceleration,Count Medium Deceleration,Count High Deceleration,PSV-99,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,Sprinting Distance TIP,HI Distance TIP,Count HSR TIP,Count Sprint TIP,Count HI TIP,Count Medium Acceleration TIP,Count High Acceleration TIP,Count Medium Deceleration TIP,Count High Deceleration TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,Sprinting Distance OTIP,HI Distance OTIP,Count HSR OTIP,Count Sprint OTIP,Count HI OTIP,Count Medium Acceleration OTIP,Count High Acceleration OTIP,Count Medium Deceleration OTIP,Count High Deceleration OTIP,matchday
Lassana Coulibaly,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,LM,Midfield,2021/2022,95.18,20.1,41.05,6056,1996-04-10,2021-12-04,Passed,12171.0,127.87,1962.0,527.0,187.0,714.0,45.0,8.0,53.0,91.0,3.0,95.0,13.0,28.8,2919.0,145.22,538.0,192.0,41.0,233.0,16.0,2.0,18.0,15.0,0.0,9.0,2.0,6404.0,156.0,1266.0,272.0,127.0,399.0,23.0,5.0,28.0,49.0,1.0,49.0,5.0,16
Nadir Zortea,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,RW,Winger,2021/2022,62.23,14.24,27.9,27642,1999-06-19,2021-12-04,Passed,7917.0,127.22,1096.0,582.0,312.0,894.0,44.0,16.0,60.0,67.0,6.0,68.0,18.0,32.8,2175.0,152.74,349.0,250.0,148.0,398.0,19.0,6.0,25.0,11.0,1.0,7.0,2.0,3945.0,141.4,630.0,251.0,129.0,380.0,21.0,6.0,27.0,37.0,3.0,29.0,8.0,16
Norbert Gyomber,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,CB,Central Defender,2021/2022,95.18,20.1,41.05,8116,1992-07-03,2021-12-04,Passed,10802.0,113.49,1369.0,394.0,245.0,639.0,36.0,9.0,45.0,83.0,5.0,61.0,14.0,31.3,2529.0,125.82,342.0,64.0,18.0,82.0,5.0,1.0,6.0,12.0,0.0,9.0,1.0,5548.0,135.15,749.0,274.0,195.0,469.0,26.0,7.0,33.0,47.0,0.0,32.0,6.0,16
Rade Krunic,Milan,Milan v Sportiva Salernitana,ITA - Serie A,CF,Forward,2021/2022,80.28,34.55,16.83,8772,1993-10-07,2021-12-04,Passed,9580.0,119.33,1303.0,673.0,252.0,925.0,58.0,14.0,72.0,79.0,6.0,76.0,20.0,29.2,4528.0,131.06,688.0,314.0,87.0,401.0,32.0,6.0,38.0,34.0,2.0,26.0,7.0,2704.0,160.67,507.0,291.0,129.0,420.0,22.0,4.0,26.0,21.0,1.0,16.0,3.0,16
Rafael Leao,Milan,Milan v Sportiva Salernitana,ITA - Serie A,LW,Winger,2021/2022,46.2,20.73,9.92,12840,1999-06-10,2021-12-04,Passed,5150.0,111.47,730.0,330.0,182.0,512.0,32.0,7.0,39.0,50.0,7.0,35.0,9.0,32.0,2586.0,124.75,454.0,217.0,135.0,352.0,19.0,4.0,23.0,26.0,2.0,15.0,3.0,1285.0,129.54,227.0,86.0,37.0,123.0,12.0,2.0,14.0,11.0,1.0,5.0,2.0,16
Alessandro Florenzi,Milan,Milan v Sportiva Salernitana,ITA - Serie A,RWB,Full Back,2021/2022,95.18,41.05,20.1,456,1991-03-11,2021-12-04,Passed,10207.0,107.24,1267.0,432.0,146.0,578.0,47.0,8.0,55.0,90.0,11.0,78.0,13.0,27.2,4543.0,110.67,501.0,202.0,56.0,258.0,25.0,4.0,29.0,37.0,5.0,33.0,3.0,2989.0,148.71,673.0,217.0,70.0,287.0,20.0,4.0,24.0,32.0,3.0,16.0,3.0,16
Frederic Veseli,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,RCB,Central Defender,2021/2022,95.18,20.1,41.05,3664,1992-11-20,2021-12-04,Passed,10739.0,112.83,1461.0,541.0,179.0,720.0,40.0,13.0,53.0,97.0,7.0,78.0,25.0,27.8,2413.0,120.05,292.0,71.0,16.0,87.0,5.0,1.0,6.0,14.0,0.0,11.0,2.0,5751.0,140.1,943.0,424.0,145.0,569.0,30.0,9.0,39.0,58.0,3.0,39.0,8.0,16
Alessio Romagnoli,Milan,Milan v Sportiva Salernitana,ITA - Serie A,LCB,Central Defender,2021/2022,95.18,41.05,20.1,480,1995-01-12,2021-12-04,Passed,9969.0,104.74,1183.0,305.0,8.0,313.0,31.0,0.0,31.0,88.0,8.0,69.0,9.0,24.2,4769.0,116.18,616.0,95.0,3.0,98.0,11.0,0.0,11.0,38.0,1.0,32.0,3.0,2713.0,134.98,461.0,187.0,0.0,187.0,16.0,0.0,16.0,33.0,1.0,14.0,2.0,16
Luka Bogdan,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,LCB,Central Defender,2021/2022,95.18,20.1,41.05,19752,1996-03-26,2021-12-04,Passed,10381.0,109.07,1347.0,356.0,72.0,428.0,33.0,4.0,37.0,92.0,8.0,71.0,16.0,27.4,2396.0,119.2,247.0,45.0,9.0,54.0,5.0,0.0,5.0,14.0,0.0,11.0,1.0,5426.0,132.18,851.0,272.0,53.0,325.0,23.0,3.0,26.0,53.0,4.0,34.0,5.0,16
Tiemoue Bakayoko,Milan,Milan v Sportiva Salernitana,ITA - Serie A,RM,Midfield,2021/2022,46.2,20.73,9.92,10351,1994-08-17,2021-12-04,Passed,6089.0,131.8,958.0,230.0,68.0,298.0,20.0,3.0,23.0,50.0,3.0,39.0,5.0,27.2,3044.0,146.84,530.0,108.0,12.0,120.0,9.0,1.0,10.0,24.0,1.0,17.0,1.0,1613.0,162.6,375.0,114.0,52.0,166.0,10.0,2.0,12.0,14.0,1.0,6.0,1.0,16
Luca Ranieri,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,LW,Winger,2021/2022,79.78,16.89,34.86,19893,1999-04-23,2021-12-04,Passed,9517.0,119.29,1334.0,423.0,197.0,620.0,38.0,10.0,48.0,77.0,9.0,70.0,20.0,30.7,2358.0,139.61,342.0,161.0,96.0,257.0,15.0,4.0,19.0,21.0,1.0,9.0,2.0,4651.0,133.42,817.0,216.0,72.0,288.0,20.0,4.0,24.0,30.0,4.0,27.0,8.0,16
Federico Bonazzoli,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,RF,Forward,2021/2022,32.95,5.85,13.15,19930,1997-05-21,2021-12-04,Passed,3790.0,115.02,576.0,139.0,20.0,159.0,18.0,2.0,20.0,45.0,2.0,28.0,8.0,26.6,805.0,137.61,162.0,62.0,18.0,80.0,7.0,1.0,8.0,7.0,0.0,4.0,0.0,1941.0,147.6,364.0,76.0,2.0,78.0,9.0,0.0,9.0,21.0,1.0,11.0,3.0,16
Grigoris Kastanos,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,LM,Midfield,2021/2022,48.97,10.18,20.32,17517,1998-01-30,2021-12-04,Passed,5526.0,112.84,865.0,175.0,26.0,201.0,20.0,2.0,22.0,51.0,2.0,42.0,8.0,25.3,1375.0,135.07,253.0,26.0,0.0,26.0,6.0,0.0,6.0,7.0,0.0,6.0,1.0,2888.0,142.13,561.0,148.0,20.0,168.0,13.0,1.0,14.0,31.0,1.0,21.0,2.0,16
Sandro Tonali,Milan,Milan v Sportiva Salernitana,ITA - Serie A,RM,Midfield,2021/2022,15.42,6.17,3.22,19844,2000-05-08,2021-12-04,Passed,1935.0,125.49,396.0,72.0,12.0,84.0,9.0,2.0,11.0,25.0,0.0,16.0,3.0,27.1,985.0,159.64,207.0,17.0,5.0,22.0,2.0,1.0,3.0,7.0,0.0,7.0,1.0,501.0,155.59,131.0,44.0,6.0,50.0,5.0,0.0,5.0,6.0,0.0,2.0,0.0,16
Wajdi Kechrida,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,RWB,Full Back,2021/2022,32.95,5.85,13.15,63081,1995-11-05,2021-12-04,Passed,3612.0,109.62,481.0,179.0,34.0,213.0,19.0,3.0,22.0,38.0,2.0,24.0,7.0,28.1,821.0,140.34,126.0,60.0,21.0,81.0,4.0,1.0,5.0,4.0,0.0,3.0,1.0,1692.0,128.67,291.0,105.0,13.0,118.0,11.0,2.0,13.0,17.0,1.0,13.0,3.0,16
Milan Djuric,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,CF,Forward,2021/2022,32.95,5.85,13.15,7631,1990-05-22,2021-12-04,Passed,3562.0,108.1,342.0,113.0,5.0,118.0,13.0,0.0,13.0,35.0,1.0,30.0,8.0,24.4,723.0,123.59,104.0,70.0,5.0,75.0,7.0,0.0,7.0,7.0,0.0,3.0,1.0,1795.0,136.5,224.0,41.0,0.0,41.0,6.0,0.0,6.0,16.0,1.0,12.0,2.0,16
Junior Messias,Milan,Milan v Sportiva Salernitana,ITA - Serie A,RW,Winger,2021/2022,48.98,20.32,10.18,27565,1991-05-13,2021-12-04,Passed,5774.0,117.88,805.0,411.0,157.0,568.0,32.0,11.0,43.0,51.0,5.0,51.0,16.0,28.2,2558.0,125.89,393.0,170.0,77.0,247.0,14.0,6.0,20.0,24.0,2.0,15.0,3.0,1653.0,162.38,317.0,182.0,54.0,236.0,17.0,4.0,21.0,14.0,1.0,10.0,5.0,16
Pawel Jaroszynski,Sportiva Salernitana,Milan v Sportiva Salernitana,ITA - Serie A,LWB,Full Back,2021/2022,15.4,3.22,6.17,8544,1994-10-02,2021-12-04,Passed,1666.0,108.18,276.0,120.0,45.0,165.0,11.0,3.0,14.0,17.0,2.0,16.0,2.0,28.5,502.0,155.9,80.0,44.0,29.0,73.0,4.0,2.0,6.0,2.0,0.0,2.0,0.0,750.0,121.56,124.0,33.0,7.0,40.0,6.0,1.0,7.0,10.0,1.0,6.0,0.0,16
Ismael Bennacer,Milan,Milan v Sportiva Salernitana,ITA - Serie A,LM,Midfield,2021/2022,48.98,20.32,10.18,14125,1997-12-01,2021-12-04,Passed,5564.0,113.6,763.0,192.0,28.0,220.0,22.0,2.0,24.0,42.0,3.0,38.0,6.0,25.9,2721.0,133.91,432.0,104.0,11.0,115.0,11.0,1.0,12.0,17.0,1.0,16.0,1.0,1446.0,142.04,297.0,77.0,3.0,80.0,10.0,1.0,11.0,14.0,1.0,9.0,2.0,16
Fodé Ballo-Touré,Milan,Milan v Sportiva Salernitana,ITA - Serie A,LWB,Full Back,2021/2022,33.15,13.15,5.85,11450,1997-01-03,2021-12-04,Passed,3601.0,108.63,609.0,208.0,40.0,248.0,20.0,4.0,24.0,38.0,3.0,25.0,7.0,27.2,1627.0,123.73,275.0,110.0,31.0,141.0,9.0,2.0,11.0,17.0,2.0,9.0,1.0,919.0,157.09,243.0,77.0,7.0,84.0,8.0,1.0,9.0,11.0,0.0,5.0,1.0,16
Mario Rui,Napoli,Napoli v Atalanta,ITA - Serie A,LWB,Full Back,2021/2022,95.3,28.87,29.04,6905,1991-05-27,2021-12-04,Passed,11050.0,115.95,1828.0,767.0,143.0,910.0,59.0,7.0,66.0,120.0,5.0,85.0,24.0,26.5,3880.0,134.4,678.0,304.0,51.0,355.0,23.0,2.0,25.0,40.0,1.0,28.0,5.0,4376.0,150.69,953.0,408.0,73.0,481.0,33.0,4.0,37.0,45.0,2.0,25.0,7.0,16
Merih Demiral,Atalanta,Napoli v Atalanta,ITA - Serie A,CB,Central Defender,2021/2022,95.3,29.04,28.87,15046,1998-03-05,2021-12-04,Passed,9951.0,104.42,1462.0,456.0,128.0,584.0,38.0,7.0,45.0,80.0,3.0,76.0,12.0,30.3,3400.0,117.08,474.0,114.0,15.0,129.0,10.0,0.0,10.0,22.0,0.0,20.0,2.0,3979.0,137.82,811.0,315.0,96.0,411.0,24.0,5.0,29.0,38.0,1.0,27.0,2.0,16
Eljif Elmas,Napoli,Napoli v Atalanta,ITA - Serie A,LF,Forward,2021/2022,95.3,28.87,29.04,13773,1999-09-24,2021-12-04,Passed,11767.0,123.47,1930.0,764.0,272.0,1036.0,63.0,15.0,78.0,104.0,5.0,79.0,16.0,29.5,4436.0,153.65,776.0,351.0,157.0,508.0,31.0,8.0,39.0,41.0,2.0,23.0,4.0,4377.0,150.72,989.0,361.0,96.0,457.0,29.0,5.0,34.0,34.0,2.0,25.0,6.0,16
Piotr Zielinski,Napoli,Napoli v Atalanta,ITA - Serie A,RM,Midfield,2021/2022,95.3,28.87,29.04,8723,1994-05-20,2021-12-04,Passed,11831.0,124.14,1925.0,525.0,105.0,630.0,43.0,3.0,46.0,90.0,5.0,80.0,8.0,27.3,4638.0,160.65,889.0,308.0,82.0,390.0,24.0,3.0,27.0,27.0,2.0,24.0,2.0,4455.0,153.41,963.0,211.0,9.0,220.0,18.0,0.0,18.0,36.0,2.0,28.0,2.0,16
Ruslan Malinovskyi,Atalanta,Napoli v Atalanta,ITA - Serie A,RF,Forward,2021/2022,73.84,23.14,21.15,12549,1993-05-04,2021-12-04,Passed,8641.0,117.02,1229.0,342.0,57.0,399.0,30.0,4.0,34.0,75.0,5.0,65.0,19.0,27.0,3225.0,139.37,495.0,171.0,28.0,199.0,18.0,2.0,20.0,30.0,2.0,18.0,4.0,3208.0,151.68,639.0,153.0,29.0,182.0,8.0,2.0,10.0,21.0,2.0,21.0,4.0,16
Joakim Maehle,Atalanta,Napoli v Atalanta,ITA - Serie A,LWB,Full Back,2021/2022,82.95,25.99,24.72,14570,1997-05-20,2021-12-04,Passed,9510.0,114.65,1407.0,602.0,388.0,990.0,48.0,12.0,60.0,99.0,9.0,73.0,18.0,31.7,3662.0,140.9,568.0,256.0,234.0,490.0,20.0,5.0,25.0,32.0,2.0,22.0,5.0,3500.0,141.59,702.0,312.0,127.0,439.0,26.0,5.0,31.0,39.0,2.0,25.0,5.0,16
Jose Luis Palomino,Atalanta,Napoli v Atalanta,ITA - Serie A,LCB,Central Defender,2021/2022,95.3,29.04,28.87,5414,1990-01-05,2021-12-04,Passed,9862.0,103.48,1244.0,500.0,252.0,752.0,43.0,12.0,55.0,90.0,6.0,71.0,9.0,30.1,3320.0,114.33,451.0,116.0,36.0,152.0,10.0,2.0,12.0,28.0,1.0,22.0,2.0,4029.0,139.56,655.0,329.0,175.0,504.0,28.0,9.0,37.0,41.0,1.0,24.0,3.0,16
Matteo Pessina,Atalanta,Napoli v Atalanta,ITA - Serie A,LF,Forward,2021/2022,56.39,17.29,18.57,14074,1997-04-21,2021-12-04,Passed,7561.0,134.08,1555.0,551.0,137.0,688.0,41.0,8.0,49.0,72.0,3.0,65.0,10.0,28.4,2727.0,157.72,547.0,232.0,75.0,307.0,19.0,3.0,22.0,25.0,1.0,16.0,2.0,3142.0,169.2,870.0,272.0,59.0,331.0,17.0,2.0,19.0,28.0,0.0,20.0,3.0,16
Dries Mertens,Napoli,Napoli v Atalanta,ITA - Serie A,CF,Forward,2021/2022,67.74,19.65,20.84,2870,1987-05-06,2021-12-04,Passed,7552.0,111.49,1226.0,516.0,161.0,677.0,45.0,9.0,54.0,74.0,8.0,61.0,11.0,29.6,2685.0,136.64,503.0,231.0,107.0,338.0,21.0,4.0,25.0,28.0,3.0,15.0,2.0,2950.0,141.55,631.0,265.0,39.0,304.0,22.0,2.0,24.0,27.0,2.0,20.0,4.0,16
Amir Rrahmani,Napoli,Napoli v Atalanta,ITA - Serie A,CB,Central Defender,2021/2022,95.3,28.87,29.04,13580,1994-02-24,2021-12-04,Passed,10479.0,109.96,1348.0,485.0,146.0,631.0,45.0,6.0,51.0,92.0,4.0,69.0,14.0,29.1,3727.0,129.1,485.0,135.0,41.0,176.0,12.0,1.0,13.0,23.0,0.0,20.0,3.0,4027.0,138.67,668.0,295.0,65.0,360.0,28.0,3.0,31.0,43.0,1.0,25.0,4.0,16
Juan Jesus,Napoli,Napoli v Atalanta,ITA - Serie A,LCB,Central Defender,2021/2022,95.3,28.87,29.04,11756,1991-06-10,2021-12-04,Passed,10475.0,109.92,1367.0,416.0,85.0,501.0,34.0,6.0,40.0,85.0,8.0,73.0,11.0,27.4,3653.0,126.53,481.0,128.0,23.0,151.0,9.0,1.0,10.0,28.0,1.0,23.0,2.0,4130.0,142.22,717.0,247.0,41.0,288.0,23.0,4.0,27.0,38.0,2.0,24.0,2.0,16
Duvan Zapata,Atalanta,Napoli v Atalanta,ITA - Serie A,CF,Forward,2021/2022,82.95,25.99,24.72,2895,1991-04-01,2021-12-04,Passed,8377.0,100.99,964.0,451.0,186.0,637.0,42.0,10.0,52.0,82.0,11.0,58.0,17.0,32.3,3382.0,130.13,512.0,272.0,105.0,377.0,25.0,7.0,32.0,33.0,4.0,19.0,4.0,2874.0,116.26,410.0,174.0,73.0,247.0,13.0,2.0,15.0,25.0,1.0,17.0,5.0,16
Kevin Malcuit,Napoli,Napoli v Atalanta,ITA - Serie A,RWB,Full Back,2021/2022,85.42,25.35,26.57,5841,1991-07-31,2021-12-04,Passed,9835.0,115.14,1476.0,620.0,283.0,903.0,51.0,13.0,64.0,94.0,5.0,75.0,24.0,30.9,3421.0,134.95,576.0,255.0,130.0,385.0,22.0,7.0,29.0,28.0,3.0,20.0,5.0,3997.0,150.43,801.0,340.0,126.0,466.0,25.0,5.0,30.0,38.0,0.0,24.0,7.0,16
Stanislav Lobotka,Napoli,Napoli v Atalanta,ITA - Serie A,LM,Midfield,2021/2022,56.12,18.57,17.29,11208,1994-11-25,2021-12-04,Passed,7395.0,131.77,1259.0,405.0,35.0,440.0,36.0,3.0,39.0,54.0,4.0,52.0,6.0,25.0,2952.0,158.97,479.0,122.0,9.0,131.0,13.0,0.0,13.0,21.0,1.0,16.0,1.0,2892.0,167.26,685.0,277.0,23.0,300.0,19.0,2.0,21.0,17.0,1.0,15.0,2.0,16
Remo Freuler,Atalanta,Napoli v Atalanta,ITA - Serie A,LM,Midfield,2021/2022,95.3,29.04,28.87,8919,1992-04-15,2021-12-04,Passed,12562.0,131.82,2370.0,533.0,138.0,671.0,47.0,5.0,52.0,95.0,2.0,91.0,6.0,27.0,4436.0,152.75,909.0,195.0,22.0,217.0,16.0,1.0,17.0,23.0,1.0,23.0,1.0,5244.0,181.64,1276.0,331.0,101.0,432.0,28.0,3.0,31.0,46.0,0.0,30.0,2.0,16
Hirving Lozano,Napoli,Napoli v Atalanta,ITA - Serie A,RF,Forward,2021/2022,67.74,19.65,20.84,11907,1995-07-30,2021-12-04,Passed,7161.0,105.71,915.0,508.0,228.0,736.0,44.0,10.0,54.0,72.0,9.0,56.0,11.0,30.8,2750.0,139.95,492.0,310.0,134.0,444.0,26.0,5.0,31.0,27.0,3.0,16.0,2.0,2589.0,124.23,375.0,171.0,72.0,243.0,14.0,3.0,17.0,25.0,2.0,17.0,2.0,16
Giovanni Di Lorenzo,Napoli,Napoli v Atalanta,ITA - Serie A,RCB,Central Defender,2021/2022,95.3,28.87,29.04,14122,1993-08-04,2021-12-04,Passed,10219.0,107.23,1082.0,371.0,186.0,557.0,31.0,7.0,38.0,80.0,4.0,71.0,11.0,29.0,3466.0,120.06,336.0,55.0,26.0,81.0,3.0,1.0,4.0,21.0,1.0,22.0,1.0,4091.0,140.87,608.0,293.0,141.0,434.0,25.0,4.0,29.0,41.0,1.0,25.0,4.0,16
Marten De Roon,Atalanta,Napoli v Atalanta,ITA - Serie A,RM,Midfield,2021/2022,95.3,29.04,28.87,7017,1991-03-29,2021-12-04,Passed,11209.0,117.62,1548.0,532.0,187.0,719.0,51.0,9.0,60.0,93.0,2.0,97.0,15.0,28.2,3759.0,129.44,473.0,124.0,35.0,159.0,10.0,2.0,12.0,24.0,0.0,18.0,2.0,4698.0,162.73,1000.0,393.0,136.0,529.0,36.0,5.0,41.0,40.0,1.0,35.0,4.0,16
Rafael Toloi,Atalanta,Napoli v Atalanta,ITA - Serie A,RCB,Central Defender,2021/2022,95.3,29.04,28.87,8812,1990-10-10,2021-12-04,Passed,11132.0,116.81,1635.0,592.0,182.0,774.0,53.0,8.0,61.0,86.0,4.0,79.0,11.0,28.4,3948.0,135.95,603.0,184.0,52.0,236.0,14.0,2.0,16.0,28.0,1.0,23.0,3.0,4358.0,150.95,822.0,335.0,97.0,432.0,29.0,4.0,33.0,38.0,1.0,27.0,2.0,16
Davide Zappacosta,Atalanta,Napoli v Atalanta,ITA - Serie A,RWB,Full Back,2021/2022,45.82,13.97,15.37,2541,1992-06-11,2021-12-04,Passed,5677.0,123.9,884.0,487.0,141.0,628.0,40.0,7.0,47.0,50.0,7.0,46.0,15.0,30.4,1937.0,138.65,307.0,209.0,44.0,253.0,16.0,2.0,18.0,12.0,2.0,11.0,3.0,2458.0,159.92,508.0,252.0,79.0,331.0,20.0,4.0,24.0,25.0,1.0,17.0,5.0,16
Berat Djimsiti,Atalanta,Napoli v Atalanta,ITA - Serie A,LWB,Full Back,2021/2022,12.35,3.03,4.13,1317,1993-02-19,2021-12-04,Passed,1438.0,116.44,225.0,115.0,37.0,152.0,9.0,1.0,10.0,13.0,0.0,14.0,2.0,26.6,448.0,147.85,77.0,48.0,16.0,64.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,583.0,141.16,103.0,57.0,11.0,68.0,5.0,0.0,5.0,5.0,0.0,4.0,0.0,16
Luis Muriel,Atalanta,Napoli v Atalanta,ITA - Serie A,CF,Forward,2021/2022,12.35,3.03,4.13,6439,1991-04-16,2021-12-04,Passed,1360.0,110.12,226.0,61.0,14.0,75.0,5.0,1.0,6.0,16.0,1.0,11.0,5.0,25.9,405.0,133.66,66.0,23.0,0.0,23.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,557.0,134.87,134.0,38.0,14.0,52.0,2.0,1.0,3.0,7.0,1.0,3.0,2.0,16
Andrea Petagna,Napoli,Napoli v Atalanta,ITA - Serie A,CF,Forward,2021/2022,27.57,9.22,8.18,14197,1995-06-30,2021-12-04,Passed,3083.0,111.82,465.0,213.0,81.0,294.0,20.0,5.0,25.0,28.0,2.0,25.0,12.0,28.1,1286.0,139.48,196.0,130.0,56.0,186.0,11.0,3.0,14.0,10.0,1.0,7.0,2.0,996.0,121.76,235.0,75.0,14.0,89.0,7.0,1.0,8.0,8.0,0.0,7.0,4.0,16
Diego Demme,Napoli,Napoli v Atalanta,ITA - Serie A,LM,Midfield,2021/2022,39.18,10.28,11.75,11750,1991-11-21,2021-12-04,Passed,5299.0,135.25,1320.0,150.0,8.0,158.0,18.0,0.0,18.0,43.0,0.0,35.0,3.0,23.1,1822.0,177.24,521.0,50.0,0.0,50.0,6.0,0.0,6.0,12.0,0.0,9.0,0.0,1990.0,169.36,679.0,99.0,7.0,106.0,11.0,0.0,11.0,15.0,0.0,10.0,2.0,16
Matteo Politano,Napoli,Napoli v Atalanta,ITA - Serie A,RW,Winger,2021/2022,9.88,3.5,2.45,7236,1993-08-03,2021-12-04,Passed,1154.0,116.8,196.0,45.0,82.0,127.0,5.0,1.0,6.0,12.0,0.0,9.0,2.0,32.8,482.0,137.71,101.0,24.0,0.0,24.0,3.0,0.0,3.0,5.0,0.0,2.0,0.0,325.0,132.65,62.0,21.0,62.0,83.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,16
Adam Ounas,Napoli,Napoli v Atalanta,ITA - Serie A,RF,Forward,2021/2022,27.57,9.22,8.18,203,1996-11-11,2021-12-04,Passed,3049.0,110.59,378.0,151.0,91.0,242.0,13.0,2.0,15.0,29.0,2.0,25.0,3.0,30.4,1202.0,130.37,183.0,71.0,82.0,153.0,5.0,1.0,6.0,10.0,1.0,8.0,0.0,1056.0,129.1,181.0,76.0,7.0,83.0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,16
Hans Hateboer,Atalanta,Napoli v Atalanta,ITA - Serie A,RWB,Full Back,2021/2022,49.48,15.07,13.5,4197,1994-01-09,2021-12-04,Passed,5569.0,112.55,841.0,356.0,186.0,542.0,30.0,8.0,38.0,57.0,2.0,50.0,12.0,30.7,2079.0,137.96,350.0,192.0,103.0,295.0,16.0,5.0,21.0,17.0,0.0,16.0,3.0,1944.0,144.0,379.0,131.0,63.0,194.0,12.0,2.0,14.0,20.0,0.0,13.0,3.0,16
Josip Ilicic,Atalanta,Napoli v Atalanta,ITA - Serie A,RF,Forward,2021/2022,38.92,11.75,10.28,5482,1988-01-29,2021-12-04,Passed,4138.0,106.32,544.0,188.0,27.0,215.0,17.0,3.0,20.0,42.0,2.0,32.0,5.0,26.2,1498.0,127.49,241.0,88.0,11.0,99.0,8.0,1.0,9.0,16.0,2.0,9.0,1.0,1473.0,143.29,269.0,99.0,15.0,114.0,7.0,1.0,8.0,13.0,0.0,9.0,2.0,16
Mario Pasalic,Atalanta,Napoli v Atalanta,ITA - Serie A,LF,Forward,2021/2022,21.47,5.88,7.72,6901,1995-02-09,2021-12-04,Passed,2687.0,125.15,437.0,141.0,62.0,203.0,9.0,2.0,11.0,26.0,1.0,20.0,6.0,28.2,831.0,141.33,126.0,59.0,20.0,79.0,4.0,1.0,5.0,6.0,1.0,4.0,1.0,1178.0,152.59,277.0,81.0,38.0,119.0,5.0,1.0,6.0,11.0,0.0,7.0,3.0,16
Edin Dzeko,Inter Milan,Roma v Inter Milan,ITA - Serie A,CF,Forward,2021/2022,77.05,34.97,18.88,2938,1986-03-17,2021-12-04,Passed,8947.0,116.12,1236.0,559.0,122.0,681.0,44.0,8.0,52.0,92.0,6.0,74.0,21.0,28.1,4434.0,126.79,698.0,316.0,75.0,391.0,24.0,5.0,29.0,44.0,2.0,27.0,5.0,2730.0,144.6,477.0,204.0,39.0,243.0,12.0,2.0,14.0,28.0,2.0,19.0,7.0,16
Bryan Cristante,Roma,Roma v Inter Milan,ITA - Serie A,DM,Midfield,2021/2022,94.74,24.51,41.8,1537,1995-03-03,2021-12-04,Passed,12531.0,132.27,2382.0,548.0,143.0,691.0,44.0,6.0,50.0,102.0,7.0,100.0,16.0,26.3,3669.0,149.69,734.0,112.0,37.0,149.0,7.0,2.0,9.0,23.0,1.0,19.0,2.0,6488.0,155.22,1475.0,422.0,102.0,524.0,31.0,4.0,35.0,61.0,3.0,48.0,6.0,16
Chris Smalling,Roma,Roma v Inter Milan,ITA - Serie A,CB,Central Defender,2021/2022,94.74,24.51,41.8,1806,1989-11-22,2021-12-04,Passed,9577.0,101.09,857.0,389.0,175.0,564.0,34.0,5.0,39.0,95.0,7.0,91.0,10.0,29.4,2671.0,108.98,178.0,76.0,18.0,94.0,4.0,0.0,4.0,18.0,0.0,17.0,1.0,5180.0,123.92,603.0,271.0,124.0,395.0,24.0,5.0,29.0,62.0,2.0,47.0,4.0,16
Alessandro Bastoni,Inter Milan,Roma v Inter Milan,ITA - Serie A,LCB,Central Defender,2021/2022,77.05,34.97,18.88,19047,1999-04-13,2021-12-04,Passed,8255.0,107.14,964.0,371.0,90.0,461.0,28.0,3.0,31.0,78.0,2.0,73.0,5.0,25.8,3944.0,112.78,497.0,158.0,25.0,183.0,12.0,1.0,13.0,39.0,1.0,35.0,2.0,2630.0,139.3,445.0,188.0,43.0,231.0,14.0,2.0,16.0,33.0,0.0,18.0,1.0,16
Denzel Dumfries,Inter Milan,Roma v Inter Milan,ITA - Serie A,RWB,Full Back,2021/2022,94.74,41.8,24.51,12685,1996-04-18,2021-12-04,Passed,11476.0,121.13,1854.0,733.0,393.0,1126.0,56.0,13.0,69.0,111.0,11.0,80.0,24.0,31.3,5285.0,126.44,818.0,355.0,199.0,554.0,23.0,6.0,29.0,44.0,5.0,24.0,5.0,3735.0,152.39,830.0,326.0,160.0,486.0,26.0,5.0,31.0,44.0,3.0,25.0,6.0,16
